filename	decision	target_dir	target_path	reason
OMOC_RIP-A_v1.1.0.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/OMOC_RIP-A_v1.1.0.md	Pattern match: OMOC_RIP-
OMOC_RIP-B_v1.1.0.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/OMOC_RIP-B_v1.1.0.md	Pattern match: OMOC_RIP-
OMOC_RIP-C_v1.1.0.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/OMOC_RIP-C_v1.1.0.md	Pattern match: OMOC_RIP-
OMOC_RIP-D_v1.1.0.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/OMOC_RIP-D_v1.1.0.md	Pattern match: OMOC_RIP-
OMOC_RIP-E_v1.1.0.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/OMOC_RIP-E_v1.1.0.md	Pattern match: OMOC_RIP-
OMOC_RIP-F_v1.1.0.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/OMOC_RIP-F_v1.1.0.md	Pattern match: OMOC_RIP-
OMOC_WP-001+RB+WI_v4.0.1-r2.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-001+RB+WI_v4.0.1-r2.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-002+RB+WI_v4.0.1-r2.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-002+RB+WI_v4.0.1-r2.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-003+RB+WI_v4.0.1-r2.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-003+RB+WI_v4.0.1-r2.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-004+RB+WI_v4.0.1-r2.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-004+RB+WI_v4.0.1-r2.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-005+RB+WI_v4.0.1-r2.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-005+RB+WI_v4.0.1-r2.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-006+RB+WI_v4.0.1-r2.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-006+RB+WI_v4.0.1-r2.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-007+RB+WI_v4.0.1-r2.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-007+RB+WI_v4.0.1-r2.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-008+RB+WI_v4.0.1-r2.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-008+RB+WI_v4.0.1-r2.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC_WP-009+RB+WI_v4.0.1-r2.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC_WP-009+RB+WI_v4.0.1-r2.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
Spartoi-OMOC_ARCH_v8.1.0.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/Spartoi-OMOC_ARCH_v8.1.0.md	Pattern match: _ARCH_|_SRS_|Architecture
Spartoi-OMOC_SRS_v8.1.0.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/Spartoi-OMOC_SRS_v8.1.0.md	Pattern match: _ARCH_|_SRS_|Architecture
Spartoi-OMOC_dev RB + WI_v8.1.1-dev-r2.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/Spartoi-OMOC_dev RB + WI_v8.1.1-dev-r2.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
Spartoi-OMOC_ops RB + WI _v8.1.1-ops-r1.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/Spartoi-OMOC_ops RB + WI _v8.1.1-ops-r1.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC RIP__OMOC_RIP-A_v1.1.0.md.HOW.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/OMOC RIP__OMOC_RIP-A_v1.1.0.md.md	Pattern match: OMOC_RIP-
OMOC RIP__OMOC_RIP-B_v1.1.0.md.HOW.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/OMOC RIP__OMOC_RIP-B_v1.1.0.md.md	Pattern match: OMOC_RIP-
OMOC RIP__OMOC_RIP-C_v1.1.0.md.HOW.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/OMOC RIP__OMOC_RIP-C_v1.1.0.md.md	Pattern match: OMOC_RIP-
OMOC RIP__OMOC_RIP-E_v1.1.0.md.HOW.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/OMOC RIP__OMOC_RIP-E_v1.1.0.md.md	Pattern match: OMOC_RIP-
OMOC RIP__OMOC_RIP-F_v1.1.0.md.HOW.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/OMOC RIP__OMOC_RIP-F_v1.1.0.md.md	Pattern match: OMOC_RIP-
OMOC WP__OMOC_WP-001+RB+WI_v4.0.1-r2.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-001+RB+WI_v4.0.1-r2.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-002+RB+WI_v4.0.1-r2.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-002+RB+WI_v4.0.1-r2.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-003+RB+WI_v4.0.1-r2.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-003+RB+WI_v4.0.1-r2.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-005+RB+WI_v4.0.1-r2.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-005+RB+WI_v4.0.1-r2.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-007+RB+WI_v4.0.1-r2.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-007+RB+WI_v4.0.1-r2.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-008+RB+WI_v4.0.1-r2.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-008+RB+WI_v4.0.1-r2.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-009+RB+WI_v4.0.1-r2.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-009+RB+WI_v4.0.1-r2.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-010+RB+WI_v4.0.1-r2.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-010+RB+WI_v4.0.1-r2.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-011+RB+WI_v4.0.1-r2.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-011+RB+WI_v4.0.1-r2.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-012+RB+WI_v4.0.1-r2.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-012+RB+WI_v4.0.1-r2.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-013+RB+WI_v4.0.1-r2.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-013+RB+WI_v4.0.1-r2.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
OMOC WP__OMOC_WP-014+RB+WI_v4.0.1-r2.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/OMOC WP__OMOC_WP-014+RB+WI_v4.0.1-r2.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Control Plane Pack_v2.2.0.md.HOW.md	PROMOTE	docs/packages/B_control_plane/	/workspaces/omoc-wt-full/docs/packages/B_control_plane/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Control Plane Pack_v2.2.0.md.md	Pattern match: Control.*Plane.*Pack|Control Plane
Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Execution Pack_v1.2.0.md.HOW.md	PROMOTE	docs/packages/C_execution/	/workspaces/omoc-wt-full/docs/packages/C_execution/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Execution Pack_v1.2.0.md.md	Pattern match: Execution.*Pack(?!.*Subsystem)
Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Governance_Index Pack_v1.2.0.md.HOW.md	PROMOTE	docs/packages/A_governance_index/	/workspaces/omoc-wt-full/docs/packages/A_governance_index/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Governance_Index Pack_v1.2.0.md.md	Pattern match: Governance.*Pack|Governance_Index
Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Subsystem Delivery Pack_v1.2.0.md.HOW.md	PROMOTE	docs/packages/E_subsystem_delivery/	/workspaces/omoc-wt-full/docs/packages/E_subsystem_delivery/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_Subsystem Delivery Pack_v1.2.0.md.md	Pattern match: Subsystem.*Delivery.*Pack|Delivery Pack
Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_前端文檔到實作驗收_工程指南.md.HOW.md	PROMOTE	docs/guides/	/workspaces/omoc-wt-full/docs/guides/Spartoi-OMOC_SubP1-LITE+MVP_Pack A-E+工程指南__Spartoi-OMOC_SubP1-LITE+MVP_前端文檔到實作驗收_工程指南.md.md	Pattern match: 工程指南|Engineering Guide
Spartoi-OMOC__Spartoi-OMOC_ARCH_v8.1.0.md.HOW.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/Spartoi-OMOC__Spartoi-OMOC_ARCH_v8.1.0.md.md	Pattern match: _ARCH_|_SRS_|Architecture
Spartoi-OMOC__Spartoi-OMOC_SRS_v8.1.0.md.HOW.md	PROMOTE	docs/ssot/	/workspaces/omoc-wt-full/docs/ssot/Spartoi-OMOC__Spartoi-OMOC_SRS_v8.1.0.md.md	Pattern match: _ARCH_|_SRS_|Architecture
Spartoi-OMOC__Spartoi-OMOC_dev RB + WI_v8.1.1-dev-r2.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/Spartoi-OMOC__Spartoi-OMOC_dev RB + WI_v8.1.1-dev-r2.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
Spartoi-OMOC__Spartoi-OMOC_ops RB + WI _v8.1.1-ops-r1.md.HOW.md	PROMOTE	docs/runbook/	/workspaces/omoc-wt-full/docs/runbook/Spartoi-OMOC__Spartoi-OMOC_ops RB + WI _v8.1.1-ops-r1.md.md	Pattern match: RB\s*\+\s*WI|RUNBOOK
20260307T144505Z_acceptance_report.json	ARCHIVE	support_how_unclassified	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/20260307T144505Z_acceptance_report.json	Metadata/evidence file: acceptance_report
20260308T052442Z_FULL_OMOC_COMPLETION_EVIDENCE.md	ARCHIVE	support_how_unclassified	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/20260308T052442Z_FULL_OMOC_COMPLETION_EVIDENCE.md	Metadata/evidence file: COMPLETION_EVIDENCE
20260308T052442Z_FULL_OMOC_COMPLETION_INDEX.json	ARCHIVE	support_how_unclassified	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/20260308T052442Z_FULL_OMOC_COMPLETION_INDEX.json	Metadata/evidence file: COMPLETION_INDEX
20260309T115405Z_acceptance_report.json	ARCHIVE	support_how_unclassified	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/20260309T115405Z_acceptance_report.json	Metadata/evidence file: acceptance_report
20260309T115405Z_evidence_upload.txt	ARCHIVE	support_how_unclassified	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/20260309T115405Z_evidence_upload.txt	Metadata/evidence file: evidence_upload
OMOC_總體RIP修補方案.md	ARCHIVE	support_how_unclassified	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/OMOC_總體RIP修補方案.md	Metadata/evidence file: 修補方案
SPINE_COMPLETION_MASTER_EVIDENCE.json	ARCHIVE	support_how_unclassified	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/SPINE_COMPLETION_MASTER_EVIDENCE.json	Metadata/evidence file: SPINE_COMPLETION
SPINE_COMPLETION_MASTER_EVIDENCE.md	ARCHIVE	support_how_unclassified	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/SPINE_COMPLETION_MASTER_EVIDENCE.md	Metadata/evidence file: SPINE_COMPLETION
Spartoi-OMOC_LBP-A(SIR) v8.1.1-r1.md	ARCHIVE	support_how_unclassified	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/Spartoi-OMOC_LBP-A(SIR) v8.1.1-r1.md	Metadata/evidence file: LBP-
Spartoi-OMOC_LBP-B(ICD)v8.1.1-r2.md	ARCHIVE	support_how_unclassified	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/Spartoi-OMOC_LBP-B(ICD)v8.1.1-r2.md	Metadata/evidence file: LBP-
Spartoi-OMOC_LBP-C(ADR) v8.1.1-r2.md	ARCHIVE	support_how_unclassified	/workspaces/omoc-wt-full/docs/_archive/support_how_unclassified/Spartoi-OMOC_LBP-C(ADR) v8.1.1-r2.md	Metadata/evidence file: LBP-
